granule_uid,obs_id,mass,period,semi_major_axis,star_spec_type,detection_type,star_distance,radius
HD 260655 c,8174,0.00972,5.70588,0.04749,MOV,Primary Transit,9.9976,0.13677
HD 2685 b,6889,1.18,4.12692,0.0568,,Primary Transit,197.98,1.44
HD 28109 b,8210,0.058195,22.89104,0.1357,F8,Primary Transit,140.087,0.19618
HD 3167 b,4004,0.0158,0.959624,0.0186,K0 V,Primary Transit,47.36,0.152
HD 3167 c,4005,0.0308,29.83832,0.1841,K0 V,Primary Transit,47.36,0.255
HD 332231 b,7355,0.244,18.71204,0.1436,F8,Primary Transit,80.597,0.867
HD 3651 b,38,0.23,62.25,0.295,K0 V,Radial Velocity,11.0,
HD 38529 b,23,0.93,14.3104,0.131,G4 IV,Radial Velocity,39.28,
HD 5278 b,7806,0.0245,14.33902,0.12,,Primary Transit,56.12,0.2186
HD 60532 b,504,9.21,201.83,0.77,F6IV-V,Radial Velocity,25.7,
HD 63935 b,7987,0.034,9.058811,,,Primary Transit,48.8,0.2668
HD 63935 c,7988,0.0349,21.4023,,,Primary Transit,48.8,0.259
HD 69830 b,326,0.1427,8.6682,0.0785,K0V,Radial Velocity,12.6,
HD 69830 c,327,0.1649,31.601,0.186,K0V,Radial Velocity,12.6,
HD 69830 d,328,0.2529,200.57,0.63,K0V,Radial Velocity,12.6,
HD 73583 b,7998,0.0321,6.398042,0.0604,K4V,Primary Transit,31.6,0.2489
HD 73583 c,7999,0.0302,18.8805,0.1233,K4V,Primary Transit,31.6,0.2436
HD 80606 b,43,4.1641,111.436765,0.4603,G5,Primary Transit,58.4,1.032
HD 80653 b,7254,0.01762,0.719573,0.0166,G2,Primary Transit,109.86,0.144
HD 81040 b,310,8.04,1001.7,1.94,G2/G3,Radial Velocity,32.56,
HD 82943 b,51,14.5,442.4,1.19,G0,Radial Velocity,27.46,
HD 82943 c,52,14.39,219.3,0.746,G0,Radial Velocity,27.46,
HD 85628 A b,7080,3.1,2.82406,0.047,A3V,Primary Transit,171.54,1.53
HD 89345 b,6719,0.1123,11.81399,0.105,G5V,Primary Transit,126.6,0.612
HD 89744 b,55,10.32,256.78,0.917,F7 V,Radial Velocity,40.0,
HD 95086 b,1289,2.6,,61.7,A8III,Imaging,90.4,
HD 95338 b,7353,0.12406,55.086,0.231,K0.5V,Primary Transit,36.9,0.3551
HD 97658 b,766,0.02457,9.489295,0.08,K1V,Primary Transit,21.1,0.20047
HIP 116454 b,2338,0.0372,9.1265,0.098,K2,Primary Transit,55.2,0.226
HIP 63734 b,8199,11.0,,30.02,F7/8 V,Imaging,54.08,
HIP 65426 b,6586,7.1,,87.0,A2V,Imaging,109.2,1.5
HIP 65A b,7319,3.213,0.9809734,0.01782,K4V,Primary Transit,61.89,2.03
HIP 67522 b,7401,5.0,6.959503,,,Primary Transit,127.27,0.8984
HIP 94235 b,8179,1.192,7.712121,0.0787,,Primary Transit,58.61,0.2862
HIP 97166 b,7985,0.063,10.28891,0.089,,Primary Transit,66.08,0.2444
HR 8799 b,516,7.0,164250.0,68.0,A5V,Imaging,39.4,1.2
HR 8799 c,517,8.3,82145.0,42.9,A5V,Imaging,39.4,1.3
HR 8799 d,518,8.3,41054.0,27.0,A5V,Imaging,39.4,1.2
HR 8799 e,768,9.6,18000.0,16.4,A5V,Imaging,39.4,1.17
ITG 15B,8048,9.0,,,,Imaging,,
J1324+63,6696,11.5,,,,Imaging,,1.23
K2-10 b,2555,0.08495,19.3044,,F9,Primary Transit,274.48,0.343
K2-105 b,6499,0.094,8.267704,0.0796,K1,Primary Transit,199.28,0.301
K2-106 b,4066,0.0263,0.571331,0.0134,G5 V,Primary Transit,246.1,0.162
K2-106 c,4067,0.018,13.339079,0.1091,G5 V,Primary Transit,246.1,0.244
K2-107 b,6510,0.84,3.313959,0.0475,F9 IV,Primary Transit,696.95,1.426
K2-108 b,6517,0.187,4.733999,0.0581,,Primary Transit,484.99,0.476
K2-110 b,6607,0.0525,13.86387,0.1027,K3 V,Primary Transit,116.84,0.228
K2-111 b,6584,0.01664,5.3518,0.057,G2,Primary Transit,201.7,0.162
K2-113 b,4071,1.28,5.817685,0.0642,G,Primary Transit,649.75,1.083
K2-114 b,6617,1.85,11.391013,0.0954,,Primary Transit,484.8,0.952
K2-124 b,7002,0.033,6.413651,0.049,M3V,Primary Transit,140.4,0.259
K2-137 b,6591,0.5,0.179715,0.0058,M3 V,Primary Transit,99.15,0.079
K2-132 b,6590,0.49,9.1751,0.0916,K,Primary Transit,620.41,1.3
K2-133 b,6620,0.0069,3.07133,0.03194,M1.5 V,Primary Transit,75.2,0.12
K2-133 c,6621,0.01,4.86784,0.04341,M1.5 V,Primary Transit,75.2,0.143
K2-133 d,6622,0.026,11.02454,0.07487,M1.5 V,Primary Transit,75.2,0.179
K2-138 b,6701,0.0098,2.35322,0.0338,K1 V,Primary Transit,183.0,0.14
K2-138 c,6702,0.0198,3.55987,0.04454,K1 V,Primary Transit,183.0,0.225
K2-138 d,6703,0.0249,5.40478,0.05883,K1 V,Primary Transit,183.0,0.237
K2-138 e,6704,0.0409,8.26144,0.07807,K1 V,Primary Transit,183.0,0.294
K2-138 f,6705,0.005,12.75759,0.1043,K1 V,Primary Transit,183.0,0.251
K2-138 g,7195,0.0135,41.96797,0.231,K1 V,Primary Transit,183.0,0.2688
K2-139 b,6518,0.381,28.380619,0.1796,K0 V,Primary Transit,154.6,0.813
K2-140 b,6563,0.93,6.56918,0.0687,G5,Primary Transit,341.6,1.093
K2-141 b,6673,0.01598,0.2803244,,,Primary Transit,61.0,0.135
K2-141 c,6710,0.02328,7.7485,,,Primary Transit,61.0,0.624
K2-146 b,6645,0.01816,2.6446,0.027,M3.0 V,Primary Transit,79.31,0.183
K2-146 c,7311,0.02358,4.00498,0.034,M3.0 V,Primary Transit,79.31,0.195
K2-155 b,6707,0.0148,6.342,0.0562,K7,Primary Transit,82.0,0.161
K2-155 c,6708,0.0205,13.85,0.0946,K7,Primary Transit,82.0,0.232
K2-155 d,6709,0.0154,40.718,0.1937,K7,Primary Transit,82.0,0.17
K2-174 b,6999,0.0289,19.562307,0.126,,Primary Transit,100.1,0.232
K2-18 b,3953,0.02807,32.939623,0.1429,M2.5 V,Primary Transit,38.07,0.211
K2-180 b,6852,0.036,8.867209,0.0753,K2V,Primary Transit,204.51,0.206
K2-182 b,7777,0.063,4.7369683,0.0526,,Primary Transit,155.9,0.24
K2-19 b,2498,0.1019,7.9194,0.074,G9 V,Primary Transit,292.14,0.691
K2-19 c,2499,0.034,11.90715,0.0971,G9 V,Primary Transit,292.14,0.434
K2-19 d,2500,0.031,2.50856,0.0344,G9 V,Primary Transit,292.14,0.102
K2-199 b,7674,0.0217,3.2253993,0.0382,,Primary Transit,107.97,0.1543
K2-199 c,7675,0.039,7.3744897,0.0662,,Primary Transit,107.97,0.2543
K2-2016-BLG-0005L b,8153,1.1,,4.18,,Microlensing,5200.0,
K2-216 b,6745,0.02517,2.1748,0.028,K5 V,Primary Transit,115.84,0.156
K2-22 b,2392,1.4,0.381078,0.0088,M0 V,Primary Transit,245.53,0.223
K2-222 b,7750,0.025,15.3885,0.1211,,Primary Transit,101.59,0.2097
K2-229 b,6902,0.00815,0.58426,0.0131,G9,Primary Transit,103.8,0.102
K2-229 c,6914,0.067,8.32727,0.0769,G9,Primary Transit,103.8,0.181
K2-229 d,6915,0.079,31.0,0.182,G9,Primary Transit,103.8,0.2364
K2-231 b,6850,0.0227,13.841901,,,Primary Transit,295.0,0.223
K2-232 b,6720,0.398,11.168454,0.10356,F9V,Primary Transit,131.21,1.0
K2-233 b,6714,0.0104,2.46746,0.03317,K3,Primary Transit,67.64,0.125
K2-233 d,6716,0.0261,24.3662,0.1527,K3,Primary Transit,67.64,0.236
K2-237 b,6779,1.236,2.1805577,0.0353,F9 V,Primary Transit,309.5,1.642
K2-238 b,6866,0.86,3.20466,0.046,G2 V,Primary Transit,453.0,1.3
K2-239 b,6754,0.0044,5.24,0.0441,M3.0 V,Primary Transit,49.0,0.098
K2-239 c,6755,0.0028,7.775,0.0576,M3.0 V,Primary Transit,49.0,0.089
K2-239 d,6756,0.0041,10.115,0.0685,M3.0 V,Primary Transit,49.0,0.098
K2-24 b,2469,0.05978,20.88977,0.154,G9 V,Primary Transit,171.39,0.482
K2-24 c,2470,0.04845,42.3391,0.247,G9 V,Primary Transit,171.39,0.669
K2-240 b,6757,0.0157,6.034,0.0513,M0.5 V,Primary Transit,70.0,0.178
K2-240 c,6758,0.0145,20.523,0.1159,M0.5 V,Primary Transit,70.0,0.161
K2-25 b,2519,0.0771,3.484552,,M4.5,Primary Transit,45.01,0.306
K2-260 b,6803,1.42,2.6266657,0.0404,F6 V,Primary Transit,676.32,1.552
K2-261 b,6761,0.223,11.63344,0.102,G7 IV/V,Primary Transit,214.58,0.85
K2-263 b,6805,0.0466,50.818947,0.2573,G9 V,Primary Transit,163.23,0.215
K2-265 b,6829,0.02058,2.369172,0.03376,G8 V,Primary Transit,139.22,0.153
K2-266 b,6764,0.0355,0.658524,0.01306,K,Primary Transit,77.16,0.294
K2-266 c,6765,0.00091,7.814,0.0679,K,Primary Transit,77.16,0.063
K2-266 d,6766,0.028,14.697,0.1035,K,Primary Transit,77.16,0.261
K2-266 e,6767,0.04499,19.482,0.1249,K,Primary Transit,77.16,0.244
K2-27 b,2556,0.09722,6.771315,0.06702,,Primary Transit,251.43,0.4
K2-280 b,7446,0.1167,19.895202,0.1488,,Primary Transit,396.9,0.684
K2-285 b,6792,0.03046,3.471745,0.03817,K2 V,Primary Transit,155.65,0.231
K2-285 c,6793,0.04933,7.138048,0.0824,K2 V,Primary Transit,155.65,0.315
K2-285 d,6794,0.02045,10.45582,0.1178,K2 V,Primary Transit,155.65,0.221
K2-285 e,6795,0.03367,14.76289,0.18041,K2 V,Primary Transit,155.65,0.174
K2-286 b,6971,0.0214,27.359,0.1768,M0 V,Primary Transit,76.32,0.187
K2-287 b,7012,0.315,14.893291,0.1206,,Primary Transit,159.05,0.847
K2-289 b,6998,0.1529,13.156969,0.107,,Primary Transit,270.7,0.812
K2-29 b,2549,0.73,3.2588321,0.04217,G7 V,Primary Transit,179.39,1.19
K2-290 b,6985,0.0343,9.21165,0.0923,,Primary Transit,274.99,0.273
K2-290 c,6986,0.774,48.36685,0.305,,Primary Transit,274.99,1.006
K2-291 b,6987,0.02042,2.225177,0.03261,,Primary Transit,90.29,0.142
K2-292 b,6965,0.07709,16.9841,0.13,G3 V,Primary Transit,114.29,0.235
K2-295 b,6778,0.335,4.024867,0.0451,K5 V,Primary Transit,225.7,0.897
K2-3 b,2361,0.02039,10.054626,0.0775,M0.0V,Primary Transit,45.0,0.194
K2-3 c,2362,0.00673,24.646582,0.1405,M0.0V,Primary Transit,45.0,0.165
K2-3 d,2363,0.00881,44.55646,0.2086,M0.0V,Primary Transit,45.0,0.135
OY Car b,2293,8.48,,6.18,M5,Pulsar,,
K2-30 b,2548,0.579,4.098503,0.04839,G6 V,Primary Transit,336.26,1.039
K2-308 b,7162,0.025,3.38628,,,Primary Transit,,0.884
K2-31 b,6511,1.774,1.25785,0.022,G7V,Primary Transit,,1.06
K2-314 b,7278,0.02753,3.5951,0.047,G8 1V/V,Primary Transit,324.7,0.174
K2-314 c,7279,0.04616,15.624,0.13,G8 1V/V,Primary Transit,324.7,0.3274
K2-314 d,7280,0.03203,35.747,0.22,G8 1V/V,Primary Transit,324.7,0.3515
K2-32 b,4035,0.047,8.991828,0.08035,G9 V,Primary Transit,158.39,0.443
K2-32 c,4036,0.0255,20.66186,0.1399,G9 V,Primary Transit,158.39,0.244
K2-32 d,4037,0.0211,31.7142,0.1862,G9 V,Primary Transit,158.39,0.292
K2-32 e,7070,0.0066,4.34882,0.04951,G9 V,Primary Transit,158.39,0.09
K2-33 b,2622,3.7,5.424865,0.0409,M3.3,Primary Transit,139.8,0.45
K2-34 b,2547,1.78,2.995633,0.0426,F9 V,Primary Transit,352.34,1.245
K2-36 b,3956,0.01227,1.422614,0.0223,K2 V,Primary Transit,110.09,0.128
K2-36 c,3957,0.02454,5.3410507,0.054,K2 V,Primary Transit,110.09,0.2783
K2-38 b,7272,0.06,4.01593,0.04994,G2 V,Primary Transit,193.71,0.17
K2-38 c,3963,0.03115,10.56103,0.0964,G2 V,Primary Transit,193.71,0.216
K2-39 b,4060,0.09,4.60543,0.062,,Primary Transit,310.14,0.56
K2-52 b,6995,0.4046,3.535055,0.054,,Primary Transit,1041.7,1.606
K2-53 b,6996,0.0289,12.20772,0.098,,Primary Transit,139.1,0.232
K2-55 b,6740,0.138,2.849258,0.03486,,Primary Transit,160.26,0.341
K2-60 b,6509,0.426,3.00265,0.045,G4 V,Primary Transit,498.7,0.683
K2-66 b,6576,0.06702,5.06963,0.05983,,Primary Transit,520.43,0.222
K2-77 b,6514,1.9,8.199796,,K,Primary Transit,142.31,0.205
K2-79 b,7599,0.0371,10.99475,0.0987,,Primary Transit,257.9,0.3649
K2-87 b,7000,0.1192,9.726618,0.094,,Primary Transit,503.6,0.678
K2-90 b,7001,0.028,13.733314,0.096,,Primary Transit,134.9,0.232
K2-95 b,4053,1.67,10.134016,0.0696,M3.0,Primary Transit,180.63,0.346
K2-97 b,6515,1.1,8.406726,0.086,,Primary Transit,869.76,0.947
K2-98 b,4018,0.101,10.136448,0.0974,F8 V,Primary Transit,526.31,0.464
K2-99 b,4045,0.87,18.24783,0.153,G0 IV,Primary Transit,522.29,1.046
KELT-10 b,2438,0.679,4.166285,0.0525,,Primary Transit,183.0,1.399
KELT-11 b,3993,0.195,4.736529,0.06229,G8,Primary Transit,98.0,1.3
KELT-19 A b,6629,4.07,4.6117093,,A8V,Primary Transit,255.0,1.91
KELT-12 b,4027,0.95,5.0316144,0.0617,F7,Primary Transit,360.0,1.79
KELT-15 b,2453,0.92,3.329441,0.04613,,Primary Transit,201.0,1.443
KELT-16 b,4017,2.75,0.9689951,0.02044,F7V,Primary Transit,365.0,1.415
KELT-17 b,4002,1.31,3.0801716,0.04881,A,Primary Transit,210.0,1.525
KELT-18 b,6519,1.18,2.8717518,0.0455,F4V,Primary Transit,311.0,1.57
KELT-2 A b,1136,1.486,4.1137914,0.05498,F7V,Primary Transit,128.9,1.306
KELT-21 b,6685,3.91,3.6127647,0.05224,A8V,Primary Transit,415.0,1.586
KELT-22A b,6722,3.69,1.38665318,0.0248,G3,Primary Transit,,1.2
KELT-23A b,7197,0.938,2.255251,0.03302,,Primary Transit,125.42,1.323
KELT-3 b,1231,1.418,2.7033902,0.04117,F,Primary Transit,178.0,1.333
KELT-4 A b,1281,0.884,2.9895933,0.04321,F,Radial Velocity,211.0,1.706
KELT-6 b,1280,0.442,7.845582,0.08,F,Primary Transit,,1.18
KELT-7 b,2359,1.24,2.734784,0.0446,,Primary Transit,129.0,1.293
KELT-8 b,2405,0.874,3.24406,0.04571,G2V,Primary Transit,236.0,1.86
KELT-9 b,6571,2.88,1.4811235,0.03368,A0,Primary Transit,,1.84
KIC 5095269 (AB) b,6587,7.698,237.70817,,F7V/M,Pulsar,,
KMT-2016-BLG-1107 b,6749,3.283,,0.342,,Microlensing,6651.0,
KMT-2016-BLG-1397 b,6865,7.0,,5.1,,Microlensing,6600.0,
KMT-2016-BLG-1820 b,6750,4.57,,1.08,,Microlensing,6260.0,
KMT-2016-BLG-1836L b,7180,2.2,,3.5,,Microlensing,7100.0,
KMT-2016-BLG-2364 b,7481,3.93,,2.63,,Microlensing,6440.0,
KMT-2016-BLG-2397 b,7482,2.42,,2.83,,Microlensing,5009.0,
KMT-2016-BLG-2605 b,7846,0.771,,0.681,,Microlensing,6421.0,
KMT-2017-BLG-0165L b,6831,0.107,,3.45,,Microlensing,4530.0,
KMT-2017-BLG-0673L b,8383,3.67,,2.34,,Microlensing,5080.0,
KMT-2017-BLG-1038 b,7057,2.4,,1.9,,Microlensing,6100.0,
KMT-2017-BLG-1146 b,7059,0.85,,1.7,,Microlensing,6600.0,
KMT-2017-BLG-2509 b,7974,2.09,,2.14,,Microlensing,7040.0,
KMT-2019-BLG-2073,7444,0.186,,,,Microlensing,,
KMT-2018-BLG-0029 b,7151,0.02017,,3.94,,Microlensing,2730.0,
KMT-2018-BLG-0030 b,8246,1.45,,4.39,,Microlensing,640.0,
KMT-2018-BLG-0087 b,8245,0.23,,0.87,,Microlensing,7020.0,
KMT-2018-BLG-0247 b,8244,2.11,,2.46,,Microlensing,6760.0,
KMT-2018-BLG-0748 b,7431,0.19,,0.62,,Microlensing,7300.0,
KMT-2018-BLG-1025L b,7798,0.019064,,1.305,,Microlensing,6700.0,
KMT-2018-BLG-1292L b,7113,4.9,,6.8,,Microlensing,2920.0,
KMT-2018-BLG-1743 b,7915,0.925,,1.74,,Microlensing,6200.0,
KMT-2018-BLG-1976L b,7843,1.96,,2.04,,Microlensing,5840.0,
KMT-2018-BLG-1988L b,8010,0.0214,,2.83,,Microlensing,4200.0,
KMT-2018-BLG-1990L b,7117,0.57,,7.2,M,Microlensing,1239.0,
KMT-2018-BLG-2004 b,8160,0.27,,4.62,,Microlensing,6980.0,
KMT-2018-BLG-2602 b,8242,1.15,,3.81,,Microlensing,4310.0,
KMT-2018:BLG-1996L b,7844,1.22,,1.97,,Microlensing,5910.0,
KMT-2019-BLG-0253 b,7897,0.0289,,3.1,,Microlensing,4900.0,
KMT-2019-BLG-0414L b,8382,4.42,,1.3,,Microlensing,4410.0,
KMT-2019-BLG-0842 b,7234,10.28,,3.31,,Microlensing,3320.0,
KMT-2019-BLG-1042 b,8155,0.19,,1.7,,Microlensing,6600.0,
KMT-2019-BLG-1339/OGLE-2019/BLG-1019 b,7304,12.2,,0.67,,Microlensing,7150.0,
KMT-2019-BLG-1552 b,8156,4.05,,2.6,,Microlensing,,
KMT-2019-BLG-1715 b,7835,2.56,,3.32,,Microlensing,3860.0,
KMT-2019-BLG-1953L b,7293,0.59,,0.8,,Microlensing,7040.0,
KMT-2019-BLG-1953L c,7294,0.28,,0.8,,Microlensing,7040.0,
KMT-2019-BLG-2974 b,8157,0.28,,2.0,,Microlensing,6100.0,
KMT-2020-BLG-0414 b,7814,0.00381,,1.79,,Microlensing,1220.0,
KMT-2021-BLG-0119 b,8387,5.7,,3.0,,Microlensing,,
KMT-2021-BLG-0171L b,8228,0.0352,,3.5,,Microlensing,4600.0,
KMT-2021-BLG-0192 b,8388,0.15,,2.6,,Microlensing,3000.0,
KMT-2021-BLG-0240 b,8175,0.4,,2.6,,Microlensing,7000.0,
KMT-2021-BLG-0240 c,8176,0.7,,4.0,,Microlensing,7000.0,
KMT-2021-BLG-0320 b,8231,0.1,,2.0,,Microlensing,6950.0,
KMT-2021-BLG-0712 b,8257,0.12016,,2.22,,Microlensing,3090.0,
KMT-2021-BLG-0748 b,8119,0.45,,2.43,,Microlensing,6090.0,
KMT-2021-BLG-0909 b,8258,1.26,,1.75,,Microlensing,6480.0,
KMT-2021-BLG-0912 b,8006,6.92,,3.03,,Microlensing,6710.0,
KMT-2021-BLG-1077L b,8151,0.22,,1.26,,Microlensing,8240.0,
KMT-2021-BLG-1077L c,8152,0.25,,0.93,,Microlensing,8240.0,
KMT-2021-BLG-1105 b,8260,1.3,,3.54,,Microlensing,4540.0,
KMT-2021-BLG-1253 b,8121,0.05994,,1.52,,Microlensing,6649.0,
KMT-2021-BLG-1303 b,8230,0.38,,2.89,,Microlensing,6280.0,
KMT-2021-BLG-1372 b,8120,0.19278,,2.37,,Microlensing,5970.0,
KMT-2021-BLG-1554 b,8233,0.12,,0.84,,Microlensing,7680.0,
KMT-2021-BLG-1689L b,8229,0.145,,2.5,,Microlensing,7200.0,
KMT-2021-BLG-1898 b,8177,0.76,,2.5,,Microlensing,6900.0,
KMT-2021-BLG-1931 b,8122,0.01432,,2.29,,Microlensing,5720.0,
KMT-2021-BLG-2294 b,8389,0.07,,1.05,,Microlensing,6830.0,
KMT-2021-BLG-2478 b,8259,0.8,,1.38,,Microlensing,2500.0,
KOI-12 b,2640,1.1,17.855182,0.154,,Primary Transit,403.99,1.23
KOI-1257 b,2282,1.45,86.647661,0.382,G5 V,Primary Transit,900.0,0.94
KOI-13 b,1016,9.28,1.763588,0.03641,,Primary Transit,415.0,1.512
KOI-142 b,1315,0.03,10.91647,,G6 V,Primary Transit,339.0,0.307
KOI-142 c,1316,0.674,22.26492,0.1529,G6 V,Primary Transit,339.0,
KOI-1599.01,5546,0.01447,20.4415,0.14728,,Primary Transit,1168.99,0.17
KOI-1599.02,4353,0.02832,13.6088,0.112293,,Primary Transit,1168.99,0.17
KOI-1783 b,4396,0.2234,134.4786723,0.5187,,Primary Transit,887.81,0.7904
KOI-1783 c,5541,0.0472,284.060953,0.8539,,TTV,887.81,0.4853
KOI-2700 b,1486,0.00271,0.910022,,,Primary Transit,,0.0946
KOI-3680 b,5412,1.93,141.241671,0.534,,Primary Transit,946.59,0.99
KOI-4777,5190,0.00107,0.412,0.008,,Primary Transit,170.66,0.0455
KOI-55 b,1037,0.0014,0.240104,0.006,B,Other,1180.0,0.068
KOI-55 c,1038,0.0021,0.342887,0.0076,B,Other,1180.0,0.077
KOI-984 b,8007,0.0544,4.2881785,0.0504,,Primary Transit,229.63,0.384
KPS-1 b,6741,1.09,1.706291,0.0269,,Primary Transit,,1.03
Kepler-10 b,803,0.0145,0.837491,0.0172,G,Primary Transit,186.5,0.132
Kepler-10 c,804,0.02319,45.2946,0.241,G,Primary Transit,186.5,0.2097
Kepler-100 b,2463,0.023,6.88705,,,Primary Transit,307.34,0.118
Kepler-100 c,2472,0.02218,12.8159,,,Primary Transit,307.34,0.196
Kepler-100 d,2473,0.00944,35.3331,,,Primary Transit,307.34,0.144
Kepler-101 b,2236,0.16,3.4876812,0.0474,G3 IV,Primary Transit,953.44,0.51
Kepler-101 c,2237,0.01,6.02976,0.0684,G3 IV,Primary Transit,953.44,0.112
Kepler-102 b,2506,0.01353,5.28696,0.055,,Primary Transit,108.13,0.042
Kepler-102 c,2505,0.00944,7.07142,0.067,,Primary Transit,108.13,0.052
Kepler-102 d,1458,0.012,10.3117,,,Primary Transit,108.13,0.105
Kepler-102 e,1409,0.028,16.1457,0.117,,Primary Transit,108.13,0.198
Kepler-102 f,2504,0.01636,27.4536,0.165,,Primary Transit,108.13,0.079
Kepler-103 b,2474,0.031,15.9654,0.133,,Primary Transit,501.93,0.301
Kepler-103 c,2475,0.114,179.612,0.6679,,Primary Transit,501.93,0.459
Kepler-104 b,2238,0.0167,11.427548,0.094,,Primary Transit,405.42,0.277
Kepler-104 c,2239,0.0242,23.668205,0.153,,Primary Transit,405.42,0.279
Kepler-104 d,2240,0.0311,51.755394,0.257,,Primary Transit,405.42,0.319
Kepler-105 b,7327,0.016,5.4122,0.066,,Primary Transit,465.33,0.429
Kepler-105 c,2241,0.01447,7.1262,0.072,,Primary Transit,465.33,0.117
Kepler-106 b,2476,0.01668,6.16486,,,Primary Transit,449.98,0.073
Kepler-106 c,2477,0.033,13.5708,,,Primary Transit,449.98,0.223
Kepler-106 d,2478,0.02549,23.9802,,,Primary Transit,449.98,0.085
Kepler-106 e,2479,0.035,43.8445,,,Primary Transit,449.98,0.228
Kepler-107 b,2242,0.01104,3.1800218,0.04544,,Primary Transit,525.5,0.137
Kepler-107 c,2243,0.02954,4.901452,0.06064,,Primary Transit,525.5,0.142
Kepler-107 d,2244,0.01196,7.95839,0.08377,,Primary Transit,525.5,0.077
Kepler-107 e,2245,0.02706,14.749143,0.12639,,Primary Transit,525.5,0.259
Kepler-109 b,2480,0.02297,6.48163,,,Primary Transit,481.4,0.211
Kepler-109 c,2481,0.06859,21.2227,,,Primary Transit,481.4,0.225
Kepler-11 b,809,0.006,10.3039,0.091,G,Primary Transit,658.59,0.161
Kepler-11 c,810,0.009,13.0241,0.107,G,Primary Transit,658.59,0.256
Kepler-11 d,811,0.023,22.6845,0.155,G,Primary Transit,658.59,0.278
Kepler-11 e,812,0.025,31.9996,0.195,G,Primary Transit,658.59,0.374
Kepler-11 f,813,0.006,46.6888,0.25,G,Primary Transit,658.59,0.222
Kepler-11 g,814,0.079,118.3807,0.466,G,Primary Transit,658.59,0.297
Kepler-113 b,2482,0.037,4.754,,,Primary Transit,264.35,0.162
Kepler-113 c,2483,0.02737,8.92507,,,Primary Transit,264.35,0.194
Kepler-114 b,1464,0.022,5.188549,0.053,M0 V,Primary Transit,261.49,0.112
Kepler-114 c,1342,0.009,8.041,0.07,M0 V,Primary Transit,261.49,0.143
Kepler-114 d,1343,0.012,11.776,0.09,M0 V,Primary Transit,261.49,0.226
Kepler-117 b,2085,0.094,18.7959228,0.1445,F8 V,Primary Transit,1430.0,0.719
Kepler-117 c,2086,1.84,50.790391,0.2804,F8 V,Primary Transit,1430.0,1.101
Kepler-12 b,939,0.432,4.4379629,0.0553,G0,Primary Transit,904.4,1.754
Kepler-122 f,7328,0.113,56.268,,,TTV,1058.58,0.156
Kepler-128 b,1344,0.00242,15.09,,,Primary Transit,400.93,0.128
Kepler-128 c,1345,0.00283,22.804,,,Primary Transit,400.93,0.12
Kepler-131 b,2484,0.051,16.092,,,Primary Transit,230.19,0.215
Kepler-131 c,2485,0.026,25.5169,,,Primary Transit,230.19,0.075
Kepler-138 b,2411,0.00021,10.3126,0.0746,M1 V,Primary Transit,66.99,0.047
Kepler-138 c,1504,0.0062,13.7813,,M1 V,Primary Transit,66.99,0.107
Kepler-138 d,1493,0.00201,23.0881,,M1 V,Primary Transit,66.99,0.108
Kepler-14 b,865,8.4,6.790123,,F,Primary Transit,980.0,1.136
Kepler-145 b,1348,0.117,22.951,,,Primary Transit,576.15,0.236
Kepler-145 c,1349,0.25,42.882,,,Primary Transit,576.15,0.385
Kepler-15 b,871,0.66,4.942782,0.05714,,Primary Transit,755.38,0.96
Kepler-150 f,6557,0.0283,637.2093,1.24,,Primary Transit,914.4,0.325
Kepler-1514 b,3047,5.28,217.83184,0.753,,Primary Transit,389.3,1.108
Kepler-1520 b,1179,6.3e-05,0.65355357,0.013,K4V,Primary Transit,636.0,
Kepler-16 (AB) b,989,0.333,228.776,0.7048,K,Primary Transit,,0.7538
Kepler-160 d,7417,0.31463,30.0,0.17,,TTV,962.92,
Kepler-1625 b,2935,11.6,287.378949,,,Primary Transit,1213.0,0.541
Kepler-1647 (AB) b,2493,1.52,1107.5923,2.7205,,Primary Transit,,1.06
Kepler-1654 b,4304,0.5,1047.8356,2.026,G5 V,Primary Transit,577.6,0.819
Kepler-1655 b,4788,0.01573,11.8728787,0.103,G0 V,Primary Transit,214.58,0.197
Kepler-1656 b,6830,0.1504,31.562,0.1974,,Primary Transit,186.88,0.448
Kepler-1656 c,8154,0.3977,1919.0,3.053,,Radial Velocity,186.88,
Kepler-1658 b,7038,5.88,3.84937278,0.0544,,Primary Transit,806.07,1.07
Kepler-1661 (AB) b,7265,0.053,175.06,,,Primary Transit,415.5,
Kepler-167 d,2588,0.006,21.803855,0.1405,K4,Primary Transit,330.0,0.107
Kepler-167 e,2587,4.0,1071.23228,1.89,K4,Primary Transit,330.0,0.906
Kepler-17 b,870,2.45,1.4857108,0.02591,G2 V,Primary Transit,800.0,1.31
Kepler-1705 b,5179,0.01406,9.03502,0.08,,Primary Transit,,0.1811
Kepler-1705 c,5171,0.01705,11.28,0.0416,,Primary Transit,,0.1829
Kepler-1708 b,8058,4.6,737.1131,1.64,,Primary Transit,1667.0,0.8886
Kepler-177 b,1350,0.01837,35.8601,,,Primary Transit,1497.42,0.312
Kepler-177 c,1351,0.04625,49.40926,,,Primary Transit,1497.42,0.779
Kepler-18 b,1004,0.022,3.504725,0.0447,,Primary Transit,438.51,0.178
Kepler-18 c,1005,0.054,7.64159,0.0752,,Primary Transit,438.51,0.49
